ID,TCGA-BR-4184-11A,TCGA-BR-4253-11A,TCGA-BR-4184-01A,TCGA-BR-4187-01A,TCGA-CG-4474-01A,TCGA-BR-4201-01A,TCGA-BR-4370-11A
cg00162643,0.026430847,0.019339989,0.02752822,0.040322045,0.037678099,0.048597106,0.025018991
cg00164898,0.036652401,0.037437782,0.103312666,0.041216076,0.043935502,0.03822763,0.051862928
cg00165981,0.122999666,0.097177992,0.133964488,0.10795911,0.12875233,0.108523331,0.080424267
cg00167504,0.05098502,0.066500555,0.23261279,0.046237783,0.035116608,0.04844241,0.076663304
cg00168082,0.083025962,0.063354669,0.060111567,0.055030072,0.056523824,0.060590974,0.083190926
cg00168785,0.173107229,0.205053434,0.098210882,0.121144814,0.188918171,0.105206879,0.132908495
cg00168942,0.530125068,0.435782583,0.354737293,0.769226978,0.41274833,0.629406806,0.543632619
cg00171126,0.0297706,0.052377288,0.072988048,0.074587709,0.041426863,0.053803681,0.064526939
cg00171161,0.063601342,0.057107885,0.060633335,0.067355684,0.05012454,0.068528545,0.075110584
cg00174500,0.581374153,0.625098622,0.391882928,0.48312743,0.45216528,0.603647393,0.639420366
cg00176210,0.411546392,0.456041061,0.421585272,0.442587299,0.46694458,0.634927964,0.470242415
cg00176879,0.870289354,0.860594523,0.87293144,0.873811332,0.869337576,0.867247082,0.872011498
cg00177013,0.050340425,0.072936764,0.063723785,0.074326295,0.074435836,0.035140815,0.047913734
cg00177698,0.03921863,0.035929895,0.035602297,0.038321469,0.034158003,0.03406651,0.02466655
cg00177923,0.031038718,0.038011243,0.042008167,0.029687004,0.030995665,0.022648029,0.034832301
cg00180012,0.030703682,0.040469502,0.036998557,0.043304675,0.041467221,0.036502825,0.043361469
cg00184884,0.024140973,0.022565881,0.019299583,0.022451995,0.021827692,0.018950181,0.031614299
cg00184893,0.039465803,0.034962505,0.041462692,0.036921222,0.031565265,0.024397105,0.068673829
cg00185839,0.025370658,0.024193746,0.024191104,0.026220905,0.025609264,0.030398376,0.028704744
cg00186141,0.048506162,0.054818951,0.04699594,0.045079633,0.075807483,0.044942329,0.056045317
cg00186701,0.45653536,0.526712206,0.502151966,0.395608867,0.562147879,0.727273677,0.54695209
cg00186954,0.722609633,0.785556278,0.852349546,0.80570549,0.855258209,0.808869782,0.805897496
cg00187380,0.252846685,0.140121189,0.07786862,0.098133525,0.073932031,0.061261594,0.150646105
cg00187686,0.665243089,0.492185279,0.541554509,0.652101103,0.317692715,0.311671928,0.583209028
cg00197381,0.032693669,0.022850197,0.032680022,0.029451032,0.022262036,0.025111882,0.017052463
cg00197641,0.055121537,0.054777436,0.045846839,0.058075988,0.041403839,0.062511735,0.053862168
cg00199549,0.71494714,0.847117898,0.82944744,0.756804774,0.842687733,0.932448399,0.849484269
cg00200063,0.034890899,0.031834821,0.041527364,0.024997662,0.026514936,0.027315019,0.025886833
cg00201234,0.267260463,0.389416387,0.461261735,0.36769382,0.431343203,0.443893547,0.315251453
cg00202702,0.069420135,0.082435856,0.221094681,0.047996355,0.448057296,0.039319014,0.052895456
cg00206052,0.028819359,0.027452125,0.0272655,0.021369516,0.025226695,0.02393979,0.029310357
cg00207534,0.017041827,0.018827487,0.022659098,0.021134456,0.019456248,0.023583095,0.018288195
cg00208830,0.598904153,0.446964734,0.330452786,0.686001836,0.427934908,0.525386982,0.693206708
cg00208967,0.222791132,0.374903933,0.675133444,0.415863264,0.611052524,0.368849075,0.349546648
cg00209066,0.917225536,0.878782032,0.88917966,0.826681571,0.923273532,0.943425979,0.896849022
cg00209951,0.034707649,0.093330823,0.09925989,0.041136225,0.689185774,0.0428069,0.020365515
cg00210842,0.029786692,0.014807544,0.029864128,0.017764039,0.036611253,0.033001149,0.02632233
cg00211661,0.049854757,0.054663502,0.056660936,0.05095206,0.173493828,0.04637299,0.056610818
cg00213044,0.550035335,0.64039016,0.514922005,0.712438483,0.550109558,0.78295452,0.684325404
cg00215066,0.91895779,0.894893874,0.930719595,0.930200436,0.904121239,0.916345824,0.939592979
cg00216361,0.071018886,0.126788418,0.077269063,0.061148754,0.073432637,0.083712754,0.05622631
cg00216758,0.077050206,0.060684214,0.061595897,0.048046392,0.056291066,0.050097308,0.072212677
cg00217795,0.712321537,0.611331082,0.717414456,0.452861241,0.638303006,0.57588849,0.700468675
cg00221494,0.301455034,0.230438967,0.160426717,0.457638046,0.63286466,0.196581635,0.316746161
cg00223186,0.050999922,0.023061889,0.044388132,0.040552169,0.051263969,0.024918448,0.022554435
cg00223950,0.042465571,0.064809232,0.039502641,0.056110844,0.047004788,0.029110299,0.046972889
cg00224234,0.04579905,0.05197186,0.042066966,0.039050694,0.036916836,0.042567867,0.035792918
cg00226923,0.499355937,0.630754654,0.690888861,0.72394037,0.692082611,0.813006567,0.696230891
cg00228799,0.06449642,0.038177307,0.054504842,0.032895179,0.050417004,0.05748862,0.065370164
cg00230271,0.018437946,0.023790723,0.027613803,0.030519131,0.035205192,0.033913719,0.039103603
cg00230368,0.049566417,0.033531471,0.043493841,0.036745874,0.031088287,0.032731405,0.035089089
cg00230502,0.169198233,0.217352194,0.204165827,0.217871055,0.193752977,0.157888665,0.187874774
cg00231140,0.043372326,0.073354096,0.043384638,0.046046843,0.043718722,0.039919234,0.073546138
cg00231644,0.08696494,0.107900485,0.209344839,0.094238694,0.145256814,0.182684984,0.249424789
cg00231920,0.057934596,0.051898113,0.079341681,0.046945828,0.057643985,0.055388825,0.081996048
cg00233307,0.084411307,0.322061071,0.439801992,0.29088015,0.420503528,0.262698778,0.150939671
cg00234616,0.425462496,0.445517349,0.31186169,0.2014781,0.235163233,0.251529264,0.402388454
cg00236832,0.092704839,0.066147947,0.074751684,0.066278991,0.091262229,0.042227325,0.050025463
cg00237010,0.729655333,0.68994548,0.750986384,0.699140828,0.492328073,0.830275625,0.822301223
cg00239071,0.83568542,0.857889012,0.902126336,0.904747933,0.868099325,0.86164174,0.910988572
cg00239685,0.093784169,0.216244853,0.029525151,0.074988128,0.064604668,0.01792817,0.115951879
cg00240432,0.187793147,0.40427978,0.737873003,0.185253708,0.620700773,0.512861354,0.188009862
cg00241355,0.045504617,0.0500026,0.035953054,0.03423978,0.03878898,0.024693839,0.040491188
cg00243313,0.271042719,0.441714694,0.544362794,0.389228715,0.403376805,0.405606826,0.19248411
cg00247489,0.068728171,0.074615651,0.087370412,0.068684884,0.379116692,0.068036915,0.070517936
cg00250430,0.33434424,0.548088464,0.795769792,0.526107774,0.662930484,0.740067403,0.255900299
cg00253200,0.052418007,0.037608411,0.10793086,0.034048898,0.036781611,0.037644675,0.0450803
cg00256074,0.932838903,0.892790582,0.75633435,0.841959655,0.858337221,0.895273981,0.938966507
cg00256166,0.043435663,0.032161273,0.0351611,0.036095796,0.032975097,0.028494228,0.038786026
cg00256281,0.053087771,0.057922971,0.099592357,0.061136568,0.052658699,0.049355805,0.056659739
cg00259755,0.17892198,0.225195949,0.131380419,0.056307201,0.086365246,0.164837547,0.176316646
cg00261552,0.024229793,0.02863156,0.023357345,0.024161905,0.025081361,0.021207858,0.027383933
cg00261781,0.240709531,0.231920843,-0.010390544,-0.017583806,0.050993237,0.003253973,0.133944146
cg00262415,0.036699405,0.033452029,0.035690118,0.032711251,0.035405494,0.034882966,0.030930766
cg00263760,0.491092709,0.558614016,0.762519896,0.496778563,0.594409629,0.704396896,0.387193584
cg00265415,0.033330792,0.036376258,0.029760416,0.035259752,0.033807671,0.021075743,0.0370552
cg00265490,0.044640009,0.030835753,0.054931964,0.050386495,0.058538111,0.06171085,0.025288974
cg00268009,0.019928158,0.023401419,0.019190181,0.021285425,0.02432792,0.020444311,0.031657218
cg00268338,0.044545287,0.045371354,0.714750304,0.046396777,0.042824659,0.043776815,0.048948398
cg00269115,0.015088662,0.021643493,0.018183942,0.023886494,0.016375059,0.01785355,0.020034409
cg00273068,0.262299177,0.400553726,0.424810461,0.360417692,0.44637278,0.450291001,0.233529509
cg00273124,0.730169469,0.484662309,0.425855307,0.64412596,0.460840804,0.635009295,0.656074978
cg00274399,0.054828437,0.041673608,0.048902155,0.033131538,0.047818414,0.037210376,0.044535322
cg00275232,0.017359334,0.020817309,0.019614069,0.020784592,0.017866374,0.018173408,0.016069663
cg00276797,0.031365273,0.027022421,0.038385413,0.040399912,0.033710826,0.000639429,0.037410679
cg00278366,0.449893899,0.458558234,0.577360112,0.409298638,0.390529731,0.24807599,0.447258482
cg00280814,0.492605208,0.580743428,0.466250387,0.601272653,0.597705846,0.651737625,0.580545625
cg00282347,0.118597942,0.231640978,0.653336015,0.2729745,0.153564113,0.1995354,0.118359065
cg00282683,0.034768996,0.033428994,0.02849142,0.030341646,0.027884246,0.026611927,0.034872958
cg00283535,0.756018471,0.476269723,0.680067108,0.588446071,0.428789196,0.437308206,0.671064944
cg00288562,0.006670081,0.010484957,0.019766008,0.001699059,0.025673953,0.008593505,0.013653511
cg00290028,0.028074022,0.030160409,0.029716376,0.024336279,0.035469488,0.015275864,0.03431665
cg00290506,0.36346833,0.488147862,0.610708787,0.437178502,0.510982155,0.428946304,0.310651676
cg00291877,0.088445785,0.044276547,0.053416091,0.034064686,0.034846675,0.033001478,0.090527174
cg00292662,0.066477931,0.064431271,0.061437062,0.059915118,0.061601206,0.058927361,0.058858396
cg00292971,0.765596552,0.85028355,0.833484476,0.731078745,0.895895518,0.80676043,0.772068416
cg00293409,0.081849558,0.106309902,0.149001191,0.162464028,0.126199705,0.505239555,0.087804699
cg00294382,0.107883769,0.210315611,0.225681548,0.173623711,0.323408845,0.202313058,0.176024044
cg00295206,0.042582675,0.047150114,0.047974361,0.038236369,0.03953825,0.034627908,0.037021802
cg00295325,0.551578306,0.694458753,0.702480732,0.713939408,0.677065252,0.643518856,0.740441109
cg00297584,0.08686302,0.197327113,0.258690003,0.083632591,0.142712246,0.09026172,0.180439895
cg00298357,0.721985843,0.761051184,0.791452048,0.732226708,0.639774483,0.80324797,0.780221917
cg00302793,0.07290024,0.064284051,0.067768865,0.071403257,0.074029042,0.083538095,0.07207418
cg00303548,0.200746487,0.068544989,0.053481965,0.173088712,-0.013828109,-0.017448951,0.091900811
cg00308133,0.038021746,0.135259961,0.743971995,0.051153997,0.080438774,0.268595774,0.034999807
cg00308665,0.506214905,0.337568949,0.216440826,0.396209572,0.301062246,0.459756511,0.456302649
cg00309056,0.058980773,0.059670209,0.34856115,0.057488456,0.063866774,0.059818441,0.058632432
cg00309204,0.027048263,0.025158174,0.032415881,0.034090329,0.031165108,0.039851367,0.033249821
cg00311768,0.522018836,0.388695213,0.22857388,0.551182494,0.385888177,0.406091038,0.437188345
cg00312919,0.041384826,0.040776205,0.375922682,0.038851579,0.038215008,0.038755682,0.03819224
cg00314943,0.863033922,0.869590487,0.730779953,0.870168644,0.886657523,0.884282021,0.83212351
cg00315936,0.06241253,0.04434183,0.074734907,0.045239431,0.041845556,0.064308035,0.072314584
cg00317680,0.069991757,0.063277611,0.067783826,0.038482139,0.064056517,0.073876672,0.021898179
cg00318573,0.368535487,0.448210075,0.549705405,0.223196005,0.474652859,0.096208722,0.286365536
cg00318865,0.06823459,0.061769633,0.039436373,0.039713144,0.043076434,0.039080374,0.063382492
cg00319761,0.011223643,0.016594366,0.024174846,0.009699615,0.012774028,0.007230794,0.010213286
cg00320243,0.042397567,0.04942474,0.0531941,0.04445671,0.047228885,0.039961391,0.055593484
cg00321065,0.02987824,0.026361678,0.030496701,0.033612677,0.029309983,0.027498241,0.02604549
cg00323915,0.539166553,0.673104766,0.51634042,0.645916663,0.497404073,0.681727602,0.632316077
cg00324733,0.049477587,0.048003778,0.188209217,0.035196313,0.062436354,0.026123821,0.045246239
cg00327185,0.047281998,0.035350433,0.034227439,0.036767178,0.039610113,0.033747944,0.04253861
cg00327483,0.803688089,0.799852526,0.827666802,0.812182144,0.805066306,0.816360909,0.806844916
cg00328227,0.317295887,0.460626264,0.393286759,0.402882187,0.44200596,0.43442709,0.493878548
cg00331237,0.066518995,0.097455362,0.195681471,0.060316627,0.090982579,0.0527611,0.080373302
cg00332153,0.143733744,0.387739404,0.353498297,0.100674624,0.705515788,0.659877976,0.193082281
cg00332745,0.038622258,0.045941448,0.042258578,0.029809469,0.03149387,0.017854471,0.034315493
cg00333528,0.443357283,0.430024198,0.313577391,0.410185758,0.343926687,0.311133118,0.408792492
cg00334507,0.577468554,0.607290185,0.691543813,0.701701739,0.617414023,0.746822753,0.665003184
cg00335286,0.506259422,0.511413305,0.626117903,0.523784699,0.261148587,0.67996379,0.591939504
cg00336605,0.055551499,0.030982683,0.035328433,0.026304645,0.02818489,0.047415811,0.061651991
cg00338702,0.209248092,0.448088814,0.559842619,0.089439842,0.674080469,0.634120559,0.122902033
cg00338893,0.065523582,0.059087314,0.067281478,0.049052076,0.052666815,0.053698203,0.070909197
cg00342530,0.664249626,0.45454974,0.714705246,0.595322592,0.475279576,0.554207579,0.592393555
cg00343092,0.097122466,0.080122407,0.035573193,0.045963293,0.040184339,0.038722345,0.067359215
cg00344358,0.867833566,0.878917134,0.893699162,0.874114851,0.877221701,0.890623381,0.89058514
cg00344372,0.57040384,0.591446481,0.495477286,0.70312923,0.545345421,0.72838369,0.682702043
cg00344709,0.860786537,0.90664524,0.816433103,0.785140046,0.905943497,0.797145035,0.928145631
cg00346145,0.095137807,0.061610527,0.095721733,0.062085513,0.081430966,0.051556009,0.117391114
cg00347729,0.462549979,0.382004496,0.260133408,0.64701022,0.53683777,0.641297658,0.395797734
cg00347904,0.332682451,0.492048989,0.881015472,0.189607332,0.680204891,0.491231213,0.282383575
cg00350296,0.439545777,0.581975481,0.646716702,0.372432833,0.563945646,0.520806293,0.531838891
cg00350478,0.473551962,0.43547196,0.341828953,0.635231321,0.401474326,0.525794612,0.449668729
cg00350702,0.037143759,0.036554722,0.023658069,0.027783755,0.033538325,0.030986321,0.042517705
cg00351011,0.078483915,0.253412499,0.663009026,0.075193336,0.091008583,0.071525092,0.08874635
cg00354572,0.157790518,0.254731713,0.47996616,0.081305838,0.102901171,0.179951308,0.149578535
cg00355802,0.040962829,0.039443389,0.02996337,0.034758591,0.027289864,0.019253096,0.065859369
cg00359325,0.057404698,0.064111169,0.059964503,0.060294086,0.076371734,0.058342362,0.0461047
cg00363813,0.392654194,0.518182773,0.625517976,0.446477671,0.593331319,0.536616606,0.491780581
cg00364814,0.886821638,0.891204172,0.89188313,0.922675526,0.90846756,0.895804986,0.875921493
cg00367281,0.622127032,0.495569299,0.382365912,0.584713583,0.462137974,0.619310539,0.629338396
cg00367438,0.073008762,0.086905741,0.096392245,0.076860393,0.069932444,0.055163698,0.097149316
cg00368022,0.026944871,0.026395007,0.030412121,0.023613125,0.028469935,0.021443097,0.027410045
cg00368415,0.037427598,0.03973394,0.036033779,0.037101502,0.048025867,0.027191192,0.027973183
cg00371195,0.90885574,0.906884716,0.919767718,0.905210369,0.915894973,0.896698705,0.8811663
cg00375964,0.035493442,0.0373936,0.047336693,0.02644642,0.029258919,0.041375418,0.037432346
cg00376639,0.049140713,0.045036494,0.046734075,0.043082054,0.033381833,0.051887365,0.032129409
cg00380464,0.050634409,0.053518471,0.0418054,0.039691346,0.041773764,0.04560301,0.065720723
